N°;Prefijo Departamento;Departamento;Provincia;Localidad;Proyecto;Nombre de ODN/ODN Name;Nombre_de_OLT/OLT_Name;OUTDOOR/INDOOR;MODELO DE OLT;NAP (Qty);Usuarios Proyectados;Urb/Rur;OLT Location;RPM;Nombre de OLT (en  el prompt de OLT);Latitud OLT (Grados decimales (DD)) Ej: 41.40338;Longitud OLT (Grados decimales (DD)) Ej: 2.17403.;Status;OLT Upgrade;Fecha ATP ODN/ATP ODN Date;Fecha de Comisionamiento OLT/OLT Commissioning Date;Fecha ATP Instalación Gabinete/ATP Installation Cabinet Date;Fecha ATP OLT de Servicios/Services ATP OLT Date;Fecha ATP OTDR/ATP OTDR Date;Fecha ATP Energía/Date ATP Energy;Sitio de interconexión a OSN (capa 2);Equipo de agregación (Carrier Entel) - A;PUERTO AGREGADOR - A;Equipo de agregación (Carrier Entel) - B;PUERTO AGREGADOR - B;Equipo de agregación (Carrier Entel) - Name Location (Nombre de localidad/sitio);Latitud Agregador (Grados decimales (DD)) Ej: 41.40338;Longitud Agregador (Grados decimales (DD)) Ej: 2.17403.;FECHA DE HABILITACION - NUEVO NETNUMEN;"SEGMENTO
IP OLT GESTIÓN";GATEWAY GESTIÓN;IP OLT GESTIÓN;VLAN TR069;SEGMENTO IP POOL EASY GATEWAY TR069;VLAN DE GESTIÓN;VLANs OUTER PPPoE;VLANs OUTER PPPoE(SECOND);VLANs OUTER VPN & IPoE ;VLAN OUTER TELEFONIA;IP SEGMENTO DE RED TELEFONIA/VOICE SEGMENT;VLAN OUTER IPTV;IP SEGMENTO DE RED IPTV/IPTV SEGMENT;SEGMENTO IP OTDR;GATEWAY IP OTDR;IP OTDR;VLAN OTDR;SEGMENTO IP Modulo de Energia (ETMC);GATEWAY IP Modulo de Energia (ETMC);IP Modulo de Energia (ETMC);VLAN MODULO DE ENERGÍA (ETMC)
1;BNI;BENI;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Riberalta 2;RIBERALTA_2;OUTDOOR;ZTE - C650;90;1440;Rural;RBS Entel;FERNANDO RIVERO;OLT_RIBERALTA_2_BNI;-11.02694;-66.04111;;1;;16-feb.-2023;;16-feb.-2023;;;;CISCO ASR 9901;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;Domsat Riberalta;-11.00889;-66.0675;;10.57.92.192/28;10.57.92.193/28;10.57.92.198/28;4008;REGIONAL;939;4026;;4025;4024;10.254.242.0/23;2603;10.119.236.0/22; 10.36.30.0/28; 10.36.30.1/28; 10.36.30.4/28;940;10.129.6.0/28;10.129.6.1/28;10.129.6.4;941
2;CHU;CHUQUISACA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Stadium;STADIUM;OUTDOOR;ZTE - C600;117;1920;Urban;Public;MILTON AVALOS;OLT_STADIUM_CHU;-19.03525;-65.25757;;;;;;;;;; ASR9K;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;Margarita;-19.01707;-65.25207;17/3/2023;10.57.92.176/29;10.57.92.177;10.57.92.181;4008;"10.144.56.0/21
 10.232.32.0/19";939;4063/4064;;4065;4066;10.121.160.0/23;4068;10.114.200.0/21;10.36.29.128/28;10.36.29.129/28;10.36.29.132;940;10.129.5.128/28;10.129.5.129/28;10.129.5.132;941
3;CHU;CHUQUISACA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Lajas Tambo;LAJASTAMBO;OUTDOOR;ZTE - C600;159;2496;Urban;Public;MILTON AVALOS;OLT_LAJASTAMBO_CHU;-19.00464;-65.29861;;;;;;;;;; ASR9K;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;El Rollo ;-19.02203;-65.28662;17/3/2023;10.57.92.184/29;10.57.92.185/29;10.57.92.188;4008;10.164.0.0/21;939;4070/4071;;4072;4073;10.121.162.0/23;4075;10.114.24.0/21;10.36.29.144/28;10.36.29.145/28;10.36.29.148;940;10.129.5.144/28;10.129.5.145/28;10.129.5.148;941
4;CHU;CHUQUISACA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Rollo 2;ROLLO_2;OUTDOOR;ZTE - C600;225;3728;Urban;RBS Entel;MILTON AVALOS;OLT_ROLLO_2_CHU;-19.02203;-65.28662;;;;;;;;;; ASR9K;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE; El Rollo;-19.02203;-65.28662;17/3/2023;10.57.92.184/29;10.57.92.185/29;10.57.92.189;4008;10.164.8.0/21;939;4077/4078;;4079;4080;10.121.164.0/23;4082;10.114.208.0/21;10.36.29.144/28;10.36.29.145/28;10.36.29.149;940;10.129.5.144/28;10.129.5.145/28;10.129.5.149;941
5;CHU;CHUQUISACA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Villa Serrano;VILLA_SERRANO;OUTDOOR;ZTE - C650;35;592;Rural;RBS Entel;MILTON AVALOS;OLT_VILLA_SERRANO_CHU;-19.11986;-64.32875;Programado;;;10-mar.-2023;;15-mar.-2023;15-mar.-2023;;; ASR9K;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE; Padilla;-19.3079;-64.31025;17/3/2023;10.194.8.64/27;10.194.8.65;10.194.8.69;4008;10.206.32.0/21;939;4023;;4024;4025;10.121.166.0/24;4027;10.114.217.0/24;10.36.29.160/28;10.36.29.161/28;10.36.29.164;940;10.129.5.160/28;10.129.5.161/28;10.129.5.164;941
6;CHU;CHUQUISACA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Azurduy;AZURDUY;OUTDOOR;ZTE - C650;20;336;Rural;RBS Entel;MILTON AVALOS;OLT_AZURDUY_CHU;-20.11086;-64.41218;Programado;;;10-mar.-2023;;;;;; ASR9K;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE; Padilla;-19.3079;-64.31025;17/3/2023;10.194.8.64/27;10.194.8.65;10.194.8.70;4008;10.206.32.0/21;939;4029;;4031;4032;10.121.167.0/24;4034;10.114.219.0/24;10.36.29.160/28;10.36.29.161/28;10.36.29.165;940;10.129.5.160/28;10.129.5.161/28;10.129.5.165;941
7;CHU;CHUQUISACA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Sopachuy;SOPACHUY;OUTDOOR;ZTE - C650;34;528;Rural;RBS Entel;MILTON AVALOS;OLT_SOPACHUY_CHU;-19.48302;-64.47711;Programado;;;13-mar.-2023;;;;;; ASR9K;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE; Padilla;-19.3079;-64.31025;17/3/2023;10.194.8.64/27;10.194.8.65;10.194.8.71;4008;10.206.32.0/21;939;4036;;4038;4039;10.121.168.0/24;4041;10.114.222.0/24;10.36.29.160/28;10.36.29.161/28;10.36.29.166;940;10.129.5.160/28;10.129.5.161/28;10.129.5.166;941
8;CHU;CHUQUISACA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Culpina;CULPINA;OUTDOOR;ZTE - C650;47;768;Rural;RBS Entel;MILTON AVALOS;OLT_CULPINA_CHU;-20.82448;-64.94029;;;;;;;;;;ASR9K;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE; Camargo;-20.64121;-65.21213;17/3/2023;10.194.8.32/27;10.194.8.33;10.194.8.37;4008;"	10.206.16.0/21";939;4020;;4021;4022;10.121.169.0/24;4024;10.114.218.0/24;10.36.29.176/28;10.36.29.177/28;10.36.29.180;940;10.129.5.176/28;10.129.5.177/28;10.129.5.180;941
9;CHU;CHUQUISACA;Jaime Zudáñez;Zudañes;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Zudañes;ZUDAÑES;OUTDOOR;ZTE - C650;32;528;Rural;RBS Entel;MILTON AVALOS;OLT_ZUDAÑES_CHU;-19.11495;-64.70332;;1;;31-ene.-2023;;;;;;ASR9K;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;Zudañez;-19.11495;-64.70332;17/3/2023;10.249.103.208/28;10.249.103.209/28;10.249.103.212/28;4008;10.164.16.0/23;939;4010;;4011;4012;10.121.170.0/24;4014;10.114.220.0/24;10.36.29.192/28;10.36.29.193/28;10.36.29.196;940;10.129.5.192/28;10.129.5.193/28;10.129.5.196;941
10;CHU;CHUQUISACA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Presto;PRESTO;OUTDOOR;ZTE - C650;39;624;Rural;Public;MILTON AVALOS;OLT_PRESTO_CHU;-18.92977;-64.93753;;;;;;;;;;ASR9K;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE; Zudañez;-19.11495;-64.70332;17/3/2023;10.249.103.208/28;10.249.103.209/28;10.249.103.213/28;4008;10.164.18.0/23;939;4016;;4017;4018;10.121.171.0/24;4020;10.114.221.0/24;10.36.29.192/28;10.36.29.193/28;10.36.29.197;940;10.129.5.192/28;10.129.5.193/28;10.129.5.197;941
